ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,STATUS
5008804,M,1,1,0,427500,Working,Higher education,Civil marriage,Rented apartment,-12005,-4542,1,1,0,0,,2,0
5008805,M,1,1,0,427500,Working,Higher education,Civil marriage,Rented apartment,-12005,-4542,1,1,0,0,,2,0
5008806,M,1,1,0,112500,Working,Secondary / secondary special,Married,House / apartment,-21474,-1134,1,0,0,0,Security staff,2,0
5008808,F,0,1,0,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,1,0,1,1,Sales staff,1,1
5008809,F,0,1,0,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,1,0,1,1,Sales staff,1,1
5008810,F,0,1,0,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,1,0,1,1,Sales staff,1,0
5008811,F,0,1,0,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,1,0,1,1,Sales staff,1,1
5008812,F,0,1,0,283500,Pensioner,Higher education,Separated,House / apartment,-22464,365243,1,0,0,0,,1,0
5008813,F,0,1,0,283500,Pensioner,Higher education,Separated,House / apartment,-22464,365243,1,0,0,0,,1,0
5008814,F,0,1,0,283500,Pensioner,Higher education,Separated,House / apartment,-22464,365243,1,0,0,0,,1,0
5008815,M,1,1,0,270000,Working,Higher education,Married,House / apartment,-16872,-769,1,1,1,1,Accountants,2,1
5112956,M,1,1,0,270000,Working,Higher education,Married,House / apartment,-16872,-769,1,1,1,1,Accountants,2,1
6153651,M,1,1,0,270000,Working,Higher education,Married,House / apartment,-16872,-769,1,1,1,1,Accountants,2,0
5008819,M,1,1,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,2,0
5008820,M,1,1,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,2,1
5008821,M,1,1,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,2,0
5008822,M,1,1,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,2,0
5008823,M,1,1,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,2,1
5008824,M,1,1,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,2,0
5008825,F,1,0,0,130500,Working,Incomplete higher,Married,House / apartment,-10669,-1103,1,0,0,0,Accountants,2,1
5008826,F,1,0,0,130500,Working,Incomplete higher,Married,House / apartment,-10669,-1103,1,0,0,0,Accountants,2,0
5008830,F,0,1,0,157500,Working,Secondary / secondary special,Married,House / apartment,-10031,-1469,1,0,1,0,Laborers,2,0
5008831,F,0,1,0,157500,Working,Secondary / secondary special,Married,House / apartment,-10031,-1469,1,0,1,0,Laborers,2,1
5008832,F,0,1,0,157500,Working,Secondary / secondary special,Married,House / apartment,-10031,-1469,1,0,1,0,Laborers,2,0
5008834,F,0,1,1,112500,Working,Secondary / secondary special,Single / not married,House / apartment,-10968,-1620,1,0,0,0,,2,1
5008835,F,0,1,1,112500,Working,Secondary / secondary special,Single / not married,House / apartment,-10968,-1620,1,0,0,0,,2,1
6153712,F,0,1,1,112500,Working,Secondary / secondary special,Single / not married,House / apartment,-10968,-1620,1,0,0,0,,2,0
5008836,M,1,1,3,270000,Working,Secondary / secondary special,Married,House / apartment,-12689,-1163,1,0,0,0,Laborers,5,0
5008837,M,1,1,3,270000,Working,Secondary / secondary special,Married,House / apartment,-12689,-1163,1,0,0,0,Laborers,5,1
5008838,M,0,1,1,405000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3,1
5008839,M,0,1,1,405000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3,0
5008840,M,0,1,1,405000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3,0
5008841,M,0,1,1,405000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3,0
5008842,M,0,1,1,405000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3,0
5008843,M,0,1,1,405000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3,0
5008844,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2,1
5008846,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2,0
5008847,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2,0
5008849,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2,1
5008850,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2,0
5008851,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2,1
5008852,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2,0
5008853,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2,0
6153733,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2,1
6153734,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2,0
6153735,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2,1
5008854,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4,1
5008855,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4,0
